zurich,0.07116246,-0.40454626,0.5604694
zuliani,0.75287867,0.049011707,-0.13502526
zloti,0.56894493,0.98675346,-0.4798193
zimbabw,0.3915875,-0.5852444,0.31171584
zimbab,-0.5830519,-0.59691477,0.5470557
zew,-0.21453428,0.63856936,0.7118807
zentrum,-0.42864203,0.86405134,0.69616485
zealand,0.15040112,0.6957278,-0.3720963
zambian,-0.08061814,-0.94032,0.15355945
zambia,-0.5707319,-0.17791915,-0.44770503
zaire,-0.29739118,0.0786469,-0.78904843
zair,-0.32720733,0.7209525,0.81425786
yugoslavia,-0.49512768,-0.28406024,0.90091157
yugoslav,0.5158682,0.9196453,0.35736895
yugo,-0.0012311935,-0.797246,-0.6691606
yug,0.902364,-0.59607506,-0.11755681
york,-0.95053196,0.3083408,-0.92532396
yield,-0.35339308,-0.6599972,0.08589554
yevgeni,-0.37294722,0.70692325,-0.2041192
yen,-0.58152795,0.060925722,0.75366783
yearli,0.6484966,0.55479884,-0.37877464
year,0.069800615,-0.05287409,-0.7164719
yasuo,0.63536596,0.89173055,0.7909279
yanno,0.9739709,0.7802944,-0.13481927
xinhua,-0.5234277,-0.857167,0.48125196
xianglong,-0.8367491,-0.77932763,0.21800709
wrung,0.23896503,-0.8400779,0.20156002
wpi,0.55438995,0.6696515,0.96758103
worri,0.79687333,-0.7756841,0.4286976
world,0.9450011,0.2401352,-0.4521656
worker,-0.61952424,-0.5091648,-0.6847646
work,0.735965,0.13272953,-0.07902765
word,0.17421079,-0.52756166,0.5282872
won,-0.8672881,-0.41171718,-0.096888304
woe,0.011941671,0.9171424,-0.6265187
wise,0.5991349,-0.84313107,0.033023596
winter,0.38450623,0.046589375,0.7832055
winston,0.33956409,-0.077988386,-0.47293425
william,-0.91398835,0.114922285,0.9413152
widespread,0.17790604,0.43694472,0.5085459
wider,-0.6464031,-0.46016383,0.17462349
widen,-0.6081753,-0.2280488,0.7594166
wide,0.78293943,-0.48168802,0.5496013
wholesal,0.05810356,-0.54553556,-0.971432
white,0.43175912,-0.80375504,-0.33046627
westphalia,0.115262985,-0.1199162,0.8468678
westfalia,0.9055698,0.46758747,0.4766631
west,-0.87801266,-0.4016385,0.6496661
welcom,-0.48366117,0.95523715,-0.49205422
weight,-0.7153497,0.15246296,-0.10698819
weigh,-0.7578132,-0.41562033,0.50647116
weekli,-0.28369045,0.6094961,-0.6770761
weekend,0.16535616,0.3027122,0.78251314
week,0.95437765,-0.055788517,0.68284845
wednesdai,-0.018993378,0.65465546,-0.6648381
weather,-0.96226525,-0.722317,-0.9064779
weaker,0.05502796,-0.7390325,-0.6743159
weaken,-0.5776646,-0.98816943,0.73970985
weak,0.60617614,0.011981487,-0.4813726
wayn,0.22760415,0.28870535,0.48680115
wave,-0.35974193,0.6499932,-0.42702293
water,-0.4161017,-0.30060554,-0.6998191
watch,0.008245945,0.7622342,-0.5786934
warn,0.06039262,0.9743326,-0.112173796
warmli,0.494725,-0.47636724,-0.008721828
war,-0.012484312,0.806057,0.3502519
wall,0.2519517,0.97731996,0.722965
wait,0.6288049,-0.054416895,0.80648303
wage,-0.07588267,0.88521624,-0.044851065
vow,0.38523793,-0.78935003,-0.055365562
vote,-0.5681782,0.46236444,0.74757457
volatil,-0.117319345,-0.26602244,0.777318
viktor,-0.4721682,0.73527026,0.42754793
vigil,0.048891306,-0.078345776,-0.22079992
view,0.7217624,-0.416677,0.9399226
vietn,0.37206817,0.9503653,0.28818083
vice,0.7053654,-0.9415226,0.716506
venezuelan,0.4215839,-0.8230951,-0.0561471
venezuela,0.9284456,-0.86777806,-0.9558711
ven,-0.7335074,0.3198545,0.12652493
veget,-0.54874206,-0.5350976,0.26863766
varieti,0.9871042,-0.12094331,0.9636488
varga,-0.9525366,0.6077485,0.69439673
vanhala,0.19478917,0.14993286,-0.031712055
vanguard,0.1868906,0.9677131,-0.81190324
valeri,-0.2922411,0.9296298,-0.55378366
vagnoriu,0.06514883,-0.8936634,0.14803243
ussr,-0.39945078,-0.4656024,0.36199045
